dteday,season,yr,mnth,weathersit,holiday,weekday,workingday,temp,hum,windspeed,variable,value,month
2011-02-06,springer,0,2,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.285833,0.568333,0.1418,casual,354,February
2011-02-07,springer,0,2,Cerah,Tidak Libur,Senin,Hari Kerja,0.271667,0.738333,0.0454083,casual,120,February
2011-02-08,springer,0,2,Cerah,Tidak Libur,Selasa,Hari Kerja,0.220833,0.537917,0.36195,casual,64,February
2011-02-09,springer,0,2,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.134783,0.494783,0.188839,casual,53,February
2011-02-10,springer,0,2,Cerah,Tidak Libur,Kamis,Hari Kerja,0.144348,0.437391,0.221935,casual,47,February
2011-02-11,springer,0,2,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.189091,0.506364,0.10855,casual,149,February
2011-02-12,springer,0,2,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.2225,0.544167,0.203367,casual,288,February
2011-02-13,springer,0,2,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.316522,0.457391,0.260883,casual,397,February
2011-02-14,springer,0,2,Cerah,Tidak Libur,Senin,Hari Kerja,0.415,0.375833,0.417908,casual,208,February
2011-02-15,springer,0,2,Cerah,Tidak Libur,Selasa,Hari Kerja,0.266087,0.314348,0.291374,casual,140,February
2011-02-16,springer,0,2,Cerah,Tidak Libur,Rabu,Hari Kerja,0.318261,0.423478,0.251791,casual,218,February
2011-02-17,springer,0,2,Cerah,Tidak Libur,Kamis,Hari Kerja,0.435833,0.505,0.230104,casual,259,February
2011-02-18,springer,0,2,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.521667,0.516667,0.264925,casual,579,February
2011-02-19,springer,0,2,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.399167,0.187917,0.507463,casual,532,February
2011-02-20,springer,0,2,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.285217,0.407826,0.223235,casual,639,February
2011-02-21,springer,0,2,Berkabut,Libur,Senin,Bukan Hari Kerja,0.303333,0.605,0.307846,casual,195,February
2011-02-22,springer,0,2,Cerah,Tidak Libur,Selasa,Hari Kerja,0.182222,0.577778,0.195683,casual,74,February
2011-02-23,springer,0,2,Cerah,Tidak Libur,Rabu,Hari Kerja,0.221739,0.423043,0.094113,casual,139,February
2011-02-24,springer,0,2,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.295652,0.697391,0.250496,casual,100,February
2011-02-25,springer,0,2,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.364348,0.712174,0.346539,casual,120,February
2011-02-26,springer,0,2,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.2825,0.537917,0.186571,casual,424,February
2011-02-27,springer,0,2,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.343478,0.68,0.125248,casual,694,February
2011-02-28,springer,0,2,Berkabut,Tidak Libur,Senin,Hari Kerja,0.407273,0.876364,0.289686,casual,81,February
2011-03-01,springer,0,3,Cerah,Tidak Libur,Selasa,Hari Kerja,0.266667,0.535,0.216425,casual,137,March
2011-03-02,springer,0,3,Cerah,Tidak Libur,Rabu,Hari Kerja,0.335,0.449583,0.307833,casual,231,March
2011-03-03,springer,0,3,Cerah,Tidak Libur,Kamis,Hari Kerja,0.198333,0.318333,0.225754,casual,123,March
2011-03-04,springer,0,3,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.261667,0.610417,0.203346,casual,214,March
2011-03-05,springer,0,3,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.384167,0.789167,0.251871,casual,640,March
2011-03-06,springer,0,3,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.376522,0.948261,0.343287,casual,114,March
2011-03-07,springer,0,3,Cerah,Tidak Libur,Senin,Hari Kerja,0.261739,0.551304,0.341352,casual,244,March
2011-03-08,springer,0,3,Cerah,Tidak Libur,Selasa,Hari Kerja,0.2925,0.420833,0.12065,casual,316,March
2011-03-09,springer,0,3,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.295833,0.775417,0.22015,casual,191,March
2011-03-10,springer,0,3,Hujan Ringan,Tidak Libur,Kamis,Hari Kerja,0.389091,0.0,0.261877,casual,46,March
2011-03-11,springer,0,3,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.316522,0.649565,0.23297,casual,247,March
2011-03-12,springer,0,3,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.329167,0.594583,0.220775,casual,724,March
2011-03-13,springer,0,3,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.384348,0.527391,0.270604,casual,982,March
2011-03-14,springer,0,3,Cerah,Tidak Libur,Senin,Hari Kerja,0.325217,0.496957,0.136926,casual,359,March
2011-03-15,springer,0,3,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.317391,0.655652,0.184309,casual,289,March
2011-03-16,springer,0,3,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.365217,0.776522,0.203117,casual,321,March
2011-03-17,springer,0,3,Cerah,Tidak Libur,Kamis,Hari Kerja,0.415,0.602917,0.209579,casual,424,March
2011-03-18,springer,0,3,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.54,0.525217,0.231017,casual,884,March
2011-03-19,springer,0,3,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.4725,0.379167,0.368167,casual,1424,March
2011-03-20,springer,0,3,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.3325,0.47375,0.207721,casual,1047,March
2011-03-21,summer,0,3,Berkabut,Tidak Libur,Senin,Hari Kerja,0.430435,0.737391,0.288783,casual,401,March
2011-03-22,summer,0,3,Cerah,Tidak Libur,Selasa,Hari Kerja,0.441667,0.624583,0.22575,casual,460,March
2011-03-23,summer,0,3,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.346957,0.839565,0.234261,casual,203,March
2011-03-24,summer,0,3,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.285,0.805833,0.243787,casual,166,March
2011-03-25,summer,0,3,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.264167,0.495,0.230725,casual,300,March
2011-03-26,summer,0,3,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.265833,0.394167,0.209571,casual,981,March
2011-03-27,summer,0,3,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.253043,0.493913,0.1843,casual,472,March
2011-03-28,summer,0,3,Cerah,Tidak Libur,Senin,Hari Kerja,0.264348,0.302174,0.212204,casual,222,March
2011-03-29,summer,0,3,Cerah,Tidak Libur,Selasa,Hari Kerja,0.3025,0.314167,0.226996,casual,317,March
2011-03-30,summer,0,3,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.3,0.646667,0.172888,casual,168,March
2011-03-31,summer,0,3,Hujan Ringan,Tidak Libur,Kamis,Hari Kerja,0.268333,0.918333,0.217646,casual,179,March
2011-04-01,summer,0,4,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.3,0.68625,0.258708,casual,307,April
2011-04-02,summer,0,4,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.315,0.65375,0.197146,casual,898,April
2011-04-03,summer,0,4,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.378333,0.48,0.182213,casual,1651,April
2011-04-04,summer,0,4,Cerah,Tidak Libur,Senin,Hari Kerja,0.573333,0.42625,0.385571,casual,734,April
2011-04-05,summer,0,4,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.414167,0.642083,0.388067,casual,167,April
2011-04-06,summer,0,4,Cerah,Tidak Libur,Rabu,Hari Kerja,0.390833,0.470833,0.263063,casual,413,April
2011-04-07,summer,0,4,Cerah,Tidak Libur,Kamis,Hari Kerja,0.4375,0.602917,0.162312,casual,571,April
2011-04-08,summer,0,4,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.335833,0.83625,0.226992,casual,172,April
2011-04-09,summer,0,4,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.3425,0.8775,0.133083,casual,879,April
2011-04-10,summer,0,4,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.426667,0.8575,0.146767,casual,1188,April
2011-04-11,summer,0,4,Berkabut,Tidak Libur,Senin,Hari Kerja,0.595652,0.716956,0.324474,casual,855,April
2011-04-12,summer,0,4,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.5025,0.739167,0.274879,casual,257,April
2011-04-13,summer,0,4,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.4125,0.819167,0.250617,casual,209,April
2011-04-14,summer,0,4,Cerah,Tidak Libur,Kamis,Hari Kerja,0.4675,0.540417,0.1107,casual,529,April
2011-04-15,summer,0,4,Cerah,Libur,Jum'at,Bukan Hari Kerja,0.446667,0.67125,0.226375,casual,642,April
2011-04-16,summer,0,4,Hujan Ringan,Tidak Libur,Sabtu,Bukan Hari Kerja,0.430833,0.888333,0.340808,casual,121,April
2011-04-17,summer,0,4,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.456667,0.479583,0.303496,casual,1558,April
2011-04-18,summer,0,4,Cerah,Tidak Libur,Senin,Hari Kerja,0.5125,0.5425,0.163567,casual,669,April
2011-04-19,summer,0,4,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.505833,0.665833,0.157971,casual,409,April
2011-04-20,summer,0,4,Cerah,Tidak Libur,Rabu,Hari Kerja,0.595,0.614167,0.241925,casual,613,April
2011-04-21,summer,0,4,Cerah,Tidak Libur,Kamis,Hari Kerja,0.459167,0.407083,0.325258,casual,745,April
2011-04-22,summer,0,4,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.336667,0.729583,0.219521,casual,177,April
2011-04-23,summer,0,4,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.46,0.887917,0.230725,casual,1462,April
2011-04-24,summer,0,4,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.581667,0.810833,0.192175,casual,1710,April
2011-04-25,summer,0,4,Cerah,Tidak Libur,Senin,Hari Kerja,0.606667,0.776667,0.185333,casual,773,April
2011-04-26,summer,0,4,Cerah,Tidak Libur,Selasa,Hari Kerja,0.631667,0.729167,0.3265,casual,678,April
2011-04-27,summer,0,4,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.62,0.835417,0.3122,casual,547,April
2011-04-28,summer,0,4,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.6175,0.700833,0.320908,casual,569,April
2011-04-29,summer,0,4,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.51,0.457083,0.240063,casual,878,April
2011-04-30,summer,0,4,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.4725,0.503333,0.235075,casual,1965,April
2011-05-01,summer,0,5,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.451667,0.762083,0.106354,casual,1138,May
2011-05-02,summer,0,5,Berkabut,Tidak Libur,Senin,Hari Kerja,0.549167,0.73,0.183454,casual,847,May
2011-05-03,summer,0,5,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.616667,0.697083,0.342667,casual,603,May
2011-05-04,summer,0,5,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.414167,0.737083,0.328996,casual,255,May
2011-05-05,summer,0,5,Cerah,Tidak Libur,Kamis,Hari Kerja,0.459167,0.444167,0.295392,casual,614,May
2011-05-06,summer,0,5,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.479167,0.59,0.228246,casual,894,May
2011-05-07,summer,0,5,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.52,0.54125,0.16045,casual,1612,May
2011-05-08,summer,0,5,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.528333,0.631667,0.0746375,casual,1401,May
2011-05-09,summer,0,5,Cerah,Tidak Libur,Senin,Hari Kerja,0.5325,0.58875,0.176,casual,664,May
2011-05-10,summer,0,5,Cerah,Tidak Libur,Selasa,Hari Kerja,0.5325,0.489167,0.115671,casual,694,May
2011-05-11,summer,0,5,Cerah,Tidak Libur,Rabu,Hari Kerja,0.5425,0.632917,0.120642,casual,550,May
2011-05-12,summer,0,5,Cerah,Tidak Libur,Kamis,Hari Kerja,0.535,0.7475,0.189667,casual,695,May
2011-05-13,summer,0,5,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.5125,0.863333,0.179725,casual,692,May
2011-05-14,summer,0,5,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.520833,0.9225,0.13495,casual,902,May
2011-05-15,summer,0,5,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.5625,0.867083,0.152979,casual,1582,May
2011-05-16,summer,0,5,Cerah,Tidak Libur,Senin,Hari Kerja,0.5775,0.787917,0.126871,casual,773,May
2011-05-17,summer,0,5,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.561667,0.837917,0.277354,casual,678,May
2011-05-18,summer,0,5,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.55,0.87,0.201492,casual,536,May
2011-05-19,summer,0,5,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.530833,0.829583,0.108213,casual,735,May
2011-05-20,summer,0,5,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.536667,0.719583,0.125013,casual,909,May
2011-05-21,summer,0,5,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.6025,0.626667,0.12065,casual,2258,May
2011-05-22,summer,0,5,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.604167,0.749583,0.148008,casual,1576,May
2011-05-23,summer,0,5,Berkabut,Tidak Libur,Senin,Hari Kerja,0.631667,0.81,0.233842,casual,836,May
2011-05-24,summer,0,5,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.66,0.740833,0.207092,casual,659,May
2011-05-25,summer,0,5,Cerah,Tidak Libur,Rabu,Hari Kerja,0.660833,0.69625,0.154233,casual,740,May
2011-05-26,summer,0,5,Cerah,Tidak Libur,Kamis,Hari Kerja,0.708333,0.6775,0.199642,casual,758,May
2011-05-27,summer,0,5,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.681667,0.65375,0.240679,casual,871,May
2011-05-28,summer,0,5,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.655833,0.729583,0.230092,casual,2001,May
2011-05-29,summer,0,5,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.6675,0.81875,0.213938,casual,2355,May
2011-05-30,summer,0,5,Cerah,Libur,Senin,Bukan Hari Kerja,0.733333,0.685,0.131225,casual,1549,May
2011-05-31,summer,0,5,Cerah,Tidak Libur,Selasa,Hari Kerja,0.775,0.636667,0.111329,casual,673,May
2011-06-01,summer,0,6,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.764167,0.677083,0.207092,casual,513,June
2011-06-02,summer,0,6,Cerah,Tidak Libur,Kamis,Hari Kerja,0.715,0.305,0.292287,casual,736,June
2011-06-03,summer,0,6,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.62,0.354167,0.253121,casual,898,June
2011-06-04,summer,0,6,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.635,0.45625,0.123142,casual,1869,June
2011-06-05,summer,0,6,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.648333,0.6525,0.138692,casual,1685,June
2011-06-06,summer,0,6,Cerah,Tidak Libur,Senin,Hari Kerja,0.678333,0.6,0.121896,casual,673,June
2011-06-07,summer,0,6,Cerah,Tidak Libur,Selasa,Hari Kerja,0.7075,0.597917,0.187808,casual,763,June
2011-06-08,summer,0,6,Cerah,Tidak Libur,Rabu,Hari Kerja,0.775833,0.622083,0.136817,casual,676,June
2011-06-09,summer,0,6,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.808333,0.568333,0.149883,casual,563,June
2011-06-10,summer,0,6,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.755,0.605,0.140554,casual,815,June
2011-06-11,summer,0,6,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.725,0.654583,0.15485,casual,1729,June
2011-06-12,summer,0,6,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.6925,0.747917,0.163567,casual,1467,June
2011-06-13,summer,0,6,Cerah,Tidak Libur,Senin,Hari Kerja,0.635,0.494583,0.30535,casual,863,June
2011-06-14,summer,0,6,Cerah,Tidak Libur,Selasa,Hari Kerja,0.604167,0.507083,0.269283,casual,727,June
2011-06-15,summer,0,6,Cerah,Tidak Libur,Rabu,Hari Kerja,0.626667,0.471667,0.167912,casual,769,June
2011-06-16,summer,0,6,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.628333,0.688333,0.206471,casual,545,June
2011-06-17,summer,0,6,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.649167,0.735833,0.143029,casual,863,June
2011-06-18,summer,0,6,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.696667,0.670417,0.119408,casual,1807,June
2011-06-19,summer,0,6,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.699167,0.666667,0.102,casual,1639,June
2011-06-20,summer,0,6,Berkabut,Tidak Libur,Senin,Hari Kerja,0.635,0.74625,0.155475,casual,699,June
2011-06-21,fall,0,6,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.680833,0.770417,0.171025,casual,774,June
2011-06-22,fall,0,6,Cerah,Tidak Libur,Rabu,Hari Kerja,0.733333,0.7075,0.172262,casual,661,June
2011-06-23,fall,0,6,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.728333,0.703333,0.238804,casual,746,June
2011-06-24,fall,0,6,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.724167,0.573333,0.222025,casual,969,June
2011-06-25,fall,0,6,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.695,0.483333,0.209571,casual,1782,June
2011-06-26,fall,0,6,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.68,0.513333,0.0945333,casual,1920,June
2011-06-27,fall,0,6,Berkabut,Tidak Libur,Senin,Hari Kerja,0.6825,0.658333,0.107588,casual,854,June
2011-06-28,fall,0,6,Cerah,Tidak Libur,Selasa,Hari Kerja,0.744167,0.634167,0.144283,casual,732,June
2011-06-29,fall,0,6,Cerah,Tidak Libur,Rabu,Hari Kerja,0.728333,0.497917,0.261821,casual,848,June
2011-06-30,fall,0,6,Cerah,Tidak Libur,Kamis,Hari Kerja,0.696667,0.434167,0.185312,casual,1027,June
2011-07-01,fall,0,7,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.7225,0.39625,0.102608,casual,1246,July
2011-07-02,fall,0,7,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.738333,0.444583,0.115062,casual,2204,July
2011-07-03,fall,0,7,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.716667,0.6825,0.228858,casual,2282,July
2011-07-04,fall,0,7,Berkabut,Libur,Senin,Bukan Hari Kerja,0.726667,0.637917,0.0814792,casual,3065,July
2011-07-05,fall,0,7,Cerah,Tidak Libur,Selasa,Hari Kerja,0.746667,0.590417,0.126258,casual,1031,July
2011-07-06,fall,0,7,Cerah,Tidak Libur,Rabu,Hari Kerja,0.72,0.743333,0.149883,casual,784,July
2011-07-07,fall,0,7,Cerah,Tidak Libur,Kamis,Hari Kerja,0.75,0.65125,0.1592,casual,754,July
2011-07-08,fall,0,7,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.709167,0.757917,0.225129,casual,692,July
2011-07-09,fall,0,7,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.733333,0.609167,0.167912,casual,1988,July
2011-07-10,fall,0,7,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.7475,0.578333,0.183471,casual,1743,July
2011-07-11,fall,0,7,Cerah,Tidak Libur,Senin,Hari Kerja,0.7625,0.635833,0.282337,casual,723,July
2011-07-12,fall,0,7,Cerah,Tidak Libur,Selasa,Hari Kerja,0.794167,0.559167,0.200254,casual,662,July
2011-07-13,fall,0,7,Cerah,Tidak Libur,Rabu,Hari Kerja,0.746667,0.631667,0.146133,casual,748,July
2011-07-14,fall,0,7,Cerah,Tidak Libur,Kamis,Hari Kerja,0.680833,0.47625,0.240667,casual,888,July
2011-07-15,fall,0,7,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.663333,0.59125,0.182833,casual,1318,July
2011-07-16,fall,0,7,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.686667,0.585,0.208342,casual,2418,July
2011-07-17,fall,0,7,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.719167,0.604167,0.245033,casual,2006,July
2011-07-18,fall,0,7,Cerah,Tidak Libur,Senin,Hari Kerja,0.746667,0.65125,0.215804,casual,841,July
2011-07-19,fall,0,7,Cerah,Tidak Libur,Selasa,Hari Kerja,0.776667,0.650417,0.1306,casual,752,July
2011-07-20,fall,0,7,Cerah,Tidak Libur,Rabu,Hari Kerja,0.768333,0.707083,0.113817,casual,644,July
2011-07-21,fall,0,7,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.815,0.69125,0.222021,casual,632,July
2011-07-22,fall,0,7,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.848333,0.580417,0.1331,casual,562,July
2011-07-23,fall,0,7,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.849167,0.5,0.131221,casual,987,July
2011-07-24,fall,0,7,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.83,0.550833,0.169171,casual,1050,July
2011-07-25,fall,0,7,Cerah,Tidak Libur,Senin,Hari Kerja,0.743333,0.757083,0.0908083,casual,568,July
2011-07-26,fall,0,7,Cerah,Tidak Libur,Selasa,Hari Kerja,0.771667,0.540833,0.200258,casual,750,July
2011-07-27,fall,0,7,Cerah,Tidak Libur,Rabu,Hari Kerja,0.775,0.402917,0.183463,casual,755,July
2011-07-28,fall,0,7,Cerah,Tidak Libur,Kamis,Hari Kerja,0.779167,0.583333,0.178479,casual,606,July
2011-07-29,fall,0,7,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.838333,0.5425,0.174138,casual,670,July
2011-07-30,fall,0,7,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.804167,0.465833,0.168537,casual,1559,July
2011-07-31,fall,0,7,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.805833,0.480833,0.164813,casual,1524,July
2011-08-01,fall,0,8,Cerah,Tidak Libur,Senin,Hari Kerja,0.771667,0.550833,0.156717,casual,729,August
2011-08-02,fall,0,8,Cerah,Tidak Libur,Selasa,Hari Kerja,0.783333,0.49125,0.20585,casual,801,August
2011-08-03,fall,0,8,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.731667,0.6575,0.135583,casual,467,August
2011-08-04,fall,0,8,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.71,0.7575,0.19715,casual,799,August
2011-08-05,fall,0,8,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.710833,0.630833,0.184696,casual,1023,August
2011-08-06,fall,0,8,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.716667,0.755,0.22825,casual,1521,August
